Year,Winner Name,Winner Country,Time,Gender,Marathon City
2019,Kenenisa Bekele,Ethiopia,2:01:41,M,Berlin
2018,Eliud Kipchoge,Kenya,2:01:39,M,Berlin
2017,Eliud Kipchoge,Kenya,2:03:32,M,Berlin
2016,Kenenisa Bekele,Ethiopia,2:03:03,M,Berlin
2015,Eliud Kipchoge,Kenya,2:04:00,M,Berlin
2014,Dennis Kimetto,Kenya,2:02:57,M,Berlin
2013,Wilson Kipsang,Kenya,2:03:23,M,Berlin
2012,Geoffrey Mutai,Kenya,2:04:15,M,Berlin
2011,Patrick Musyoki,Kenya,2:03:38,M,Berlin
2010,Patrick Musyoki,Kenya,2:05:08,M,Berlin
2009,Haile Gebrselassie,Ethiopia,2:06:08,M,Berlin
2008,Haile Gebrselassie,Ethiopia,2:03:59,M,Berlin
2007,Haile Gebrselassie,Ethiopia,2:04:26,M,Berlin
2006,Haile Gebrselassie,Ethiopia,2:05:56,M,Berlin
2005,Philip Manyim,Kenya,2:07:41,M,Berlin
2004,Felix Limo,Kenya,2:06:44,M,Berlin
2003,Paul Tergat,Kenya,2:04:55,M,Berlin
2002,Raymond Kipkoech,Kenya,2:06:47,M,Berlin
2001,Joseph Ngolepus,Kenya,2:08:47,M,Berlin
2000,Simon Biwott,Kenya,2:07:42,M,Berlin
1999,Josephat Kiprono,Kenya,2:06:44,M,Berlin
1998,Ronaldo da Costa,Brazil,2:06:05,M,Berlin
1997,Elijah Lagat,Kenya,2:07:41,M,Berlin
1996,Abel Antón,Spain,2:09:15,M,Berlin
1995,Sammy Lelei,Kenya,2:07:02,M,Berlin
1994,António Pinto,Portugal,2:08:31,M,Berlin
1993,Xolile Yawa,South Africa,2:10:57,M,Berlin
1992,David Tsebe,South Africa,2:08:07,M,Berlin
1991,Steve Brace,UK,2:10:57,M,Berlin
1990,Steve Moneghetti,Australia,2:08:16,M,Berlin
1989,Alfredo Shahanga,Tanzania,2:10:11,M,Berlin
1988,Suleiman Nyambui,Tanzania,2:11:45,M,Berlin
1987,Suleiman Nyambui,Tanzania,2:11:11,M,Berlin
1986,Bogus?aw Psujek,Poland,2:11:03,M,Berlin
1985,Jimmy Ashworth,UK,2:11:43,M,Berlin
1984,John Skovbjerg,Denmark,2:13:35,M,Berlin
1983,Karel Lismont,Belgium,2:13:37,M,Berlin
1982,Domingo Tibaduiza,Colombia,2:14:47,M,Berlin
1981,Ian Ray,UK,2:15:42,M,Berlin
1980,Ingo Sensburg,West Germany,2:16:48,M,Berlin
1979,Ingo Sensburg,West Germany,2:21:09,M,Berlin
1978,Michael Spöttel,West Germany,2:20:03,M,Berlin
1977,Günter Mielke,West Germany,2:15:19,M,Berlin
1976,Ingo Sensburg,West Germany,2:23:08,M,Berlin
1975,Ralf Bochröder,West Germany,2:47:08,M,Berlin
1974,Günter Hallas,West Germany,2:44:53,M,Berlin
2019,Ashete Bekere,Ethiopia,2:20:14,F,Berlin
2018,Gladys Cherono,Kenya,2:18:11,F,Berlin
2017,Gladys Cherono,Kenya,2:20:23,F,Berlin
2016,Aberu Kebede,Ethiopia,2:20:45,F,Berlin
2015,Gladys Cherono,Kenya,2:19:25,F,Berlin
2014,Tirfi Tsegaye,Ethiopia,2:20:18,F,Berlin
2013,Florence Kiplagat,Kenya,2:21:13,F,Berlin
2012,Aberu Kebede,Ethiopia,2:20:30,F,Berlin
2011,Florence Kiplagat,Kenya,2:19:44,F,Berlin
2010,Aberu Kebede,Ethiopia,2:23:58,F,Berlin
2009,Atsede Habtamu,Ethiopia,2:24:47,F,Berlin
2008,Irina Mikitenko,Germany,2:19:19,F,Berlin
2007,Gete Wami,Ethiopia,2:23:17,F,Berlin
2006,Gete Wami,Ethiopia,2:21:34,F,Berlin
2005,Mizuki Noguchi,Japan,2:19:12,F,Berlin
2004,Yoko Shibui,Japan,2:19:41,F,Berlin
2003,Yasuko Hashimoto,Japan,2:26:32,F,Berlin
2002,Naoko Takahashi,Japan,2:21:49,F,Berlin
2001,Naoko Takahashi,Japan,2:19:46,F,Berlin
2000,Kazumi Matsuo,Japan,2:26:15,F,Berlin
1999,Tegla Loroupe,Kenya,2:20:43,F,Berlin
1998,Marleen Renders,Belgium,2:25:22,F,Berlin
1997,Catherina McKiernan,Ireland,2:23:44,F,Berlin
1996,Colleen De Reuck,South Africa,2:26:35,F,Berlin
1995,Uta Pippig,Germany,2:25:37,F,Berlin
1994,Katrin Dörre-Heinig,Germany,2:25:15,F,Berlin
1993,Renata Kokowska,Poland,2:26:20,F,Berlin
1992,Uta Pippig,Germany,2:30:22,F,Berlin
1991,Renata Kokowska,Poland,2:27:36,F,Berlin
1990,Uta Pippig,East Germany,2:28:37,F,Berlin
1989,Päivi Tikkanen,Finland,2:28:45,F,Berlin
1988,Renata Kokowska,Poland,2:29:16,F,Berlin
1987,Kerstin Preßler,West Germany,2:31:22,F,Berlin
1986,Charlotte Teske,West Germany,2:32:10,F,Berlin
1985,Magda Ilands,Belgium,2:34:10,F,Berlin
1984,Ágnes Sipka,Hungary,2:39:32,F,Berlin
1983,Karen Holdsworth,UK,2:40:32,F,Berlin
1982,Jean Lochhead,UK,2:47:05,F,Berlin
1981,Angelika Stephan,West Germany,2:47:24,F,Berlin
