YEAR,Winner Name,Winner Country,Time,Gender,Marathon City
1970,Gary Muhrcke,USA,2:31:38,M,NY
1971,Norman Higgins,USA,2:22:54,M,NY
1972,Sheldon Karlin,USA,2:27:52,M,NY
1973,Tom Fleming,USA,2:21:54,M,NY
1974,Norbert Sander,USA,2:26:30,M,NY
1975,Tom Fleming,USA,2:19:27,M,NY
1976,Bill Rodgers,USA,2:10:10,M,NY
1977,Bill Rodgers,USA,2:11:28,M,NY
1978,Bill Rodgers,USA,2:12:12,M,NY
1979,Bill Rodgers,USA,2:11:42,M,NY
1980,Alberto Salazar,USA,2:09:41,M,NY
1981,Alberto Salazar,USA,2:08:13,M,NY
1982,Alberto Salazar,USA,2:09:29,M,NY
1983,Rod Dixon,New Zealand,2:08:59,M,NY
1984,Orlando Pizzolato,Italy,2:14:53,M,NY
1985,Orlando Pizzolato,Italy,2:11:34,M,NY
1986,Gianni Poli,Italy,2:11:06,M,NY
1987,Ibrahim Hussein,Kenya,2:11:01,M,NY
1988,Steve Jones,UK,2:08:20,M,NY
1989,Juma Ikangaa,Tanzania,2:08:01,M,NY
1990,Douglas Wakiihuri,Kenya,2:12:39,M,NY
1991,Salvador García,Mexico,2:09:28,M,NY
1992,Willie Mtolo,South Africa,2:09:29,M,NY
1993,Andrés Espinosa,Mexico,2:10:04,M,NY
1994,Germán Silva,Mexico,2:11:21,M,NY
1995,Germán Silva,Mexico,2:11:00,M,NY
1996,Giacomo Leone,Italy,2:09:54,M,NY
1997,John Kagwe,Kenya,2:08:12,M,NY
1998,John Kagwe,Kenya,2:08:45,M,NY
1999,Joseph Chebet,Kenya,2:09:14,M,NY
2000,Abdelkader El Mouaziz,Morocco,2:10:09,M,NY
2001,Tesfaye Jifar,Ethiopia,2:07:43,M,NY
2002,Rodgers Rop,Kenya,2:08:07,M,NY
2003,Martin Lel,Kenya,2:10:30,M,NY
2004,Hendrick Ramaala,South Africa,2:09:28,M,NY
2005,Paul Tergat,Kenya,2:09:30,M,NY
2006,Marílson Gomes dos Santos,Brazil,2:09:58,M,NY
2007,Martin Lel,Kenya,2:09:04,M,NY
2008,Marílson Gomes dos Santos,Brazil,2:08:43,M,NY
2009,Meb Keflezighi,USA,2:09:15,M,NY
2010,Gebregziabher Gebremariam,Ethiopia,2:08:14,M,NY
2011,Geoffrey Mutai,Kenya,2:05:05,M,NY
2013,Geoffrey Mutai,Kenya,2:08:24,M,NY
2014,Wilson Kipsang,Kenya,2:10:59,M,NY
2015,Stanley Biwott,Kenya,2:10:34,M,NY
2016,Ghirmay Ghebreslassie,Eritrea,2:07:51,M,NY
2017,Geoffrey Kamworor,Kenya,2:10:53,M,NY
2018,Lelisa Desisa,Ethiopia,2:05:59,M,NY
2019,Geoffrey Kamworor,Kenya,2:08:13,M,NY
1972,Nina Kuscsik,USA,3:08:41,F,NY
1973,Nina Kuscsik,USA,2:57:07,F,NY
1974,Kathrine Switzer,USA,3:07:29,F,NY
1975,Kim Merritt,USA,2:46:14,F,NY
1976,Miki Gorman,USA,2:39:11,F,NY
1977,Miki Gorman,USA,2:43:10,F,NY
1978,Grete Waitz,Norway,2:32:30,F,NY
1979,Grete Waitz,Norway,2:27:33,F,NY
1980,Grete Waitz,Norway,2:25:42,F,NY
1981,Allison Roe,New Zealand,2:25:29,F,NY
1982,Grete Waitz,Norway,2:27:14,F,NY
1983,Grete Waitz,Norway,2:27:00,F,NY
1984,Grete Waitz,Norway,2:29:30,F,NY
1985,Grete Waitz,Norway,2:28:34,F,NY
1986,Grete Waitz,Norway,2:28:06,F,NY
1987,Priscilla Welch,UK,2:30:17,F,NY
1988,Grete Waitz,Norway,2:28:07,F,NY
1989,Ingrid Kristiansen,Norway,2:25:30,F,NY
1990,Wanda Panfil,Poland,2:30:45,F,NY
1991,Liz McColgan,UK,2:27:32,F,NY
1992,Lisa Ondieki,Australia,2:24:40,F,NY
1993,Uta Pippig,GermaNY2:26:24,F,NY
1994,Tegla Loroupe,Kenya,2:27:37,F,NY
1995,Tegla Loroupe,Kenya,2:28:06,F,NY
1996,Anu?a C?tun?,Romania,2:28:18,F,NY
1997,Franziska Rochat-Moser,Switzerland,2:28:43,F,NY
1998,Franca Fiacconi,Italy,2:25:17,F,NY
1999,Adriana Fernandez,Mexico,2:25:06,F,NY
2000,Lyudmila Petrova,Russia,2:25:45,F,NY
2001,Margaret Okayo,Kenya,2:24:21,F,NY
2002,Joyce Chepchumba,Kenya,2:25:56,F,NY
2003,Margaret Okayo,Kenya,2:22:31,F,NY
2004,Paula Radcliffe,UK,2:23:10,F,NY
2005,Je?ena Prokop?uka,Latvia,2:24:41,F,NY
2006,Je?ena Prokop?uka,Latvia,2:25:05,F,NY
2007,Paula Radcliffe,UK,2:23:09,F,NY
2008,Paula Radcliffe,UK,2:23:56,F,NY
2009,Derartu Tulu,Ethiopia,2:28:52,F,NY
2010,Edna Kiplagat,Kenya,2:28:20,F,NY
2011,Firehiwot Dado,Ethiopia,2:23:15,F,NY
2013,Priscah Jeptoo,Kenya,2:25:07,F,NY
2014,Mary KeitaNYKenya,2:25:07,F,NY
2015,Mary KeitaNYKenya,2:24:25,F,NY
2016,Mary KeitaNYKenya,2:24:26,F,NY
2017,Shalane Flanagan,USA,2:26:53,F,NY
2018,Mary KeitaNYKenya,2:22:48,F,NY
2019,Joyciline Jepkosgei,Kenya,2:22:38,F,NY
