,Country,Obesity,Year 
1,Nauru,61,2016
2,Cook Islands ,56,2016
3,Palau,55,2016
4,Marshall Islands,53,2016
5,Tuvalu,52,2016
6,Niue,50,2016
7,Tonga,48,2016
8,Samoa,47,2016
9,Kiribati,46,2016
10,Federated States of Micronesia,46,2016
11,Kuwait,38,2016
12,USA,36,2016
13,Jordan,36,2016
14,Saudi Arabia,35,2016
15,Qatar,35,2016
16,Libya,33,2016
17,Turkey,32,2016
18,Egypt,32,2016
19,Lebanon,32,2016
20,UAE ,32,2016
21, The Bahamas,32,2016
22,New Zealand ,31,2016
23,Iraq,30,2016
24,Fiji,30,2016
25,Bahrain,30,2016
26,Canada,29,2016
27,Australia,29,2016
28,Malta,29,2016
29,Mexico,29,2016
30,Argentina,28,2016
31,South Africa,28,2016
32,Chile,28,2016
33,Dominica,28,2016
34,Uruguay,28,2016
35,Syria,28,2016
36,UK,28,2016
37,Dominican Republic,28,2016
38,Algeria,27,2016
39,Oman,27,2016
40,Tunisia,27,2016
41,Hungary,26,2016
42,Suriname,26,2016
43,Lithuania,26,2016
44,Israel,26,2016
45,Morocco,26,2016
46,Czechia,26,2016
47,Iran,26,2016
48,Costa Rica ,26,2016
49,Andorra,26,2016
50,Venezuela,26,2016
51,Ireland,25,2016
52,Vanuatu,25,2016
53,Bulgaria,25,2016
54,Greece,25,2016
55,Jamaica,25,2016
56,Cuba,25,2016
57,El Salvador,25,2016
58,Belarus,25,2016
59,Croatia,24,2016
60,Belize,24,2016
61,Ukraine,24,2016
62,Spain,24,2016
63,Nicaragua,24,2016
64,Saint Vicent and the Grenadines,24,2016
65,Latvia,24,2016
66,Montenegro,23,2016
67,Barbados,23,2016
68,Norway,23,2016
69,Poland,23,2016
70,Russia,23,2016
71,Saint Kittis and Nevis ,23,2016
72,Haiti,23,2016
73,Panama,23,2016
74,Luxembourg,23,2016
75,Romania,23,2016
76,Solomon Islands ,23,2016
77,Macedonia,22,2016
78,Colombia,22,2016
79,Germany,22,2016
80,Finland,22,2016
81,Belgium,22,2016
82,Brazil,22,2016
83,Iceland,22,2016
84,Cyprus,22,2016
85,Albania,22,2016
86,Georgia,22,2016
87,France,22,2016
88,Serbia,22,2016
89,Honduras,21,2016
90,Grenada,21,2016
91,Papua New Guinea,21,2016
92,Estonia,21,2016
93,Guatemala,21,2016
94,Kazakhstan,21,2016
95,Portugal,21,2016
96,Mongolia,21,2016
97,Sweden,21,2016
98,Slovakia,21,2016
99,Netherlands,20,2016
100,Paraguay,20,2016
101,Armenia,20,2016
102,Bolivia,20,2016
103,Guyana,20,2016
104,Slovenia,20,2016
105,Austria,20,2016
106,Azerbaijan,20,2016
107,Ecuador,20,2016
108,Italy,20,2016
109,Denmark,20,2016
110,Peru,20,2016
111,Saint Lucia ,20,2016
112,Switzerland,20,2016
113,Antigua and Barbuda,19,2016
114,Botswana,19,2016
115,Moldova,19,2016
116,Trinidad and Tobago ,19,2016
117,Turkmenistan,19,2016
118,Bosnia and Herzegovina,18,2016
119,Namibia,17,2016
120,Yemen,17,2016
121,Kyrgyzstan,17,2016
122,Lesotho,17,2016
123,Uzbekistan,17,2016
124,Eswatini,17,2016
125,Malaysia,16,2016
126,Zimbabwe,16,2016
127,Gabon,15,2016
128,Tajikistan,14,2016
129,Brunei,14,2016
130,Seychelles,14,2016
131,Djibouti,14,2016
132,Mauritania,13,2016
133,Sao Tome and Principe ,12,2016
134,Cabo Verde ,12,2016
135,Cameroon,11,2016
136,Ghana,11,2016
137,Mauritius,11,2016
138,Cote d'Ivoire,10,2016
139, The Gambia,10,2016
140,Thailand,10,2016
141,Liberia,10,2016
142,Benin,10,2016
143,Repucblic of  Congo ,10,2016
144,Guinea-Bissau,10,2016
145,Nigeria,9,2016
146,Senegal,9,2016
147,Sierra Leone ,9,2016
148,Maldives,9,2016
149,Mali,9,2016
150,Pakistan,9,2016
151,Tanzania,8,2016
152,Togo,8,2016
153,Somalia,8,2016
154,Angola,8,2016
155,Zambia,8,2016
156,Equatorial Guinea ,8,2016
157,Comoros,8,2016
158,Guinea,8,2016
159,Central African Repiblic ,8,2016
160,Mozambique,7,2016
161,Kenya,7,2016
162,Indonesia,7,2016
163,North Korea,7,2016
164,Democratic Republic of the Congo ,7,2016
165,South Sudan ,7,2014
166,Sudan,7,2014
167,Bhutan,6,2016
168,Philippines,6,2016
169,China,6,2016
170,Chad,6,2016
171,Singapore,6,2016
172,Burma,6,2016
173,Malawi,6,2016
174,Rwanda,6,2016
175,Burkina Faso ,6,2016
176,Afghanistan,6,2016
177,Niger,6,2016
178,Burundi,5,2016
179,Laos,5,2016
180,Madagascar,5,2016
181,Uganda,5,2016
182,Sri Lanka,5,2016
183,Eritrea,5,2016
184,South Korea,5,2016
185,Ethiopia,5,2016
186,Japan,4,2016
187,Nepal,4,2016
188,Cambodia,4,2016
189,India,4,2016
190,Timor-Leste,4,2016
191,Bangladesh,4,2016
192,Vietnam,2,2016
