Year,Winner,Winner Country,Time,Gender,Marathon City
2019,Birhanu Legese,Ethiopia,2:04:48,M,Tokyo
2018,Dickson Chumba,Kenya,2:05:30,M,Tokyo
2017,Wilson Kipsang,Kenya,2:03:58,M,Tokyo
2016,Feyisa Lilesa,Ethiopia,2:06:56,M,Tokyo
2015,Endeshaw Negesse,Ethiopia,2:06:00,M,Tokyo
2014,Dickson Chumba,Kenya,2:05:42,M,Tokyo
2013,Dennis Kimetto,Kenya,2:06:50,M,Tokyo
2012,Michael Kipyego,Kenya,2:07:37,M,Tokyo
2011,Hailu Mekonnen,Ethiopia,2:07:35,M,Tokyo
2010,Masakazu Fujiwara,Japan,2:12:19,M,Tokyo
2009,Salim Kipsang,Kenya,2:10:27,M,Tokyo
2008,Viktor Röthlin,Switzerland,2:07:23,M,Tokyo
2007,Daniel Njenga,Kenya,2:09:45,M,Tokyo
2019,Ruti Aga,Ethiopia,2:20:40,F,Tokyo
2018,Birhane Dibaba,Ethiopia,2:19:51,F,Tokyo
2017,Sarah Chepchirchir,Kenya,2:19:47,F,Tokyo
2016,Helah Kiprop,Kenya,2:21:27,F,Tokyo
2015,Birhane Dibaba,Ethiopia,2:23:15,F,Tokyo
2014,Tirfi Tsegaye,Ethiopia,2:22:23,F,Tokyo
2013,Aberu Kebede,Ethiopia,2:25:34,F,Tokyo
2012,Atsede Habtamu,Ethiopia,2:25:28,F,Tokyo
2011,Noriko Higuchi,Japan,2:28:49,F,Tokyo
2010,Alevtina Biktimirova,Russia,2:34:39,F,Tokyo
2009,Mizuho Nasukawa,Japan,2:25:38,F,Tokyo
2008,Claudia Dreher,Germany,2:35:35,F,Tokyo
2007,Hitomi Niiya,Japan,2:31:02,F,Tokyo
