Country,GINI
Kenya,40.8
Ethiopia,35
USA,41.5
UK,33.2
Japan,32.1
West Germany,31.7
Brazil,53.3
South Africa,63
Switzerland,32.3
Russia ,37.7
Germany,31.7
New Zealand,36.17
Italy,35.4
Tanzania,37.8
Mexico,48.3
Morocco,39.5
Eritrea,35.7
Norway,27.5
Poland ,31.8
Australia,35.8
Romania,35.9
Latvia,34.2
Denmark,28.2
Portugal,35.5
Spain,36.2
Ireland,31.8
China,38.6
Sweeden,29.2
Finland,27.1
Canada,34
Greece,36
South Korea,31.6
Guatemala,48.3
Yugoslavia,31
Belgium,27.7
Colombia,49.7
East Germany,31.7
Hungary,30.4
